Account,Winnings (ETH),Amount Wagered,ROI,Trades
0xa559df...,0.05,0.02,300%,1
0xfe8dd8...,0.05,0.01,900%,1
0x37c650...,0.05,1.51,3.40%,8
0x2106d5...,0.05,0.81,5.60%,5
0x76a6d2...,0.05,0.95,4.80%,3
0xf10efd...,0.05,2.05,2.40%,5
0xd5b738...,0.05,0.04,156.40%,1
0x13c149...,0.05,0.31,14.80%,4
0x25420e...,0.05,0.02,212.50%,1
0xd33d58...,0.05,0.05,100%,1
0x6c5c9d...,0.05,0,3233.30%,1
0x51c416...,0.05,0.05,96.10%,1
0x06171f...,0.05,1.57,3.20%,1
0x90288a...,0.05,0.05,83.50%,1
0x637257...,0.05,0.1,45.70%,2
0xc1b184...,0.05,0.06,81.80%,5
0x789bb4...,0.05,1.95,2.60%,1
0x2ac05d...,0.05,0.15,33.30%,1
0x789c45...,0.04,0.23,18.30%,4
0x70c556...,0.04,0.07,53.80%,1
0x4cf712...,0.04,0.02,209.90%,4
0x799389...,0.04,0.08,53.80%,1
0x770c13...,0.04,0.13,33.60%,2
0x52304f...,0.04,0.03,112.80%,1
0x362b6c...,0.04,0.06,77%,2
0x7186ce...,0.04,0.96,4.30%,4
0x075c2e...,0.04,0.02,201.30%,2
0x1dc0fe...,0.04,0.06,68.80%,1
0x5e68cc...,0.04,0.08,46.50%,3
0x561a81...,0.04,0.11,40.80%,6
0xbb0f03...,0.04,0.22,16.60%,2
0x419ba2...,0.04,8.36,0.40%,12
0x215bfb...,0.04,0.05,77%,2
0xbc5eea...,0.04,0.22,19.80%,2
0x497e06...,0.04,0.05,78.60%,3
0x27cba1...,0.04,0.05,69.50%,1
0x6b923d...,0.04,0.07,53.80%,1
0x194cf5...,0.04,0.11,33.30%,1
0x67a2a3...,0.04,0.47,7.50%,1
0x2f7030...,0.04,2.46,1.50%,2
0x282173...,0.04,0.17,21.20%,2
0x633cb2...,0.04,0.31,13.20%,5
0x77bd77...,0.04,0.45,7.90%,5
0xe07e7a...,0.04,0.72,6%,2
0x6f8bc2...,0.04,0.16,25%,2
0x71d284...,0.04,0.07,53.80%,1
0x5216bb...,0.04,0.01,400%,1
0x297289...,0.04,0.97,3.60%,1
0xcb59db...,0.04,0.11,31.60%,2
0x284533...,0.03,0.1,25%,1
0x2ea007...,0.03,0.55,5.80%,1
0x2fcda7...,0.03,0.1,25%,1
0x27ee02...,0.03,0.21,12%,2
0x1609c0...,0.03,0.01,185.70%,2
0x85887b...,0.03,0.29,11.10%,5
0x146604...,0.03,0.1,25%,1
0xcc2782...,0.03,0.07,44.90%,1
0x8c057d...,0.03,0.05,58.70%,1
0xd41522...,0.03,0.62,5.60%,16
0xd471cc...,0.03,0.07,37.90%,2
0xa4ff74...,0.03,0.01,244.80%,1
0x1114fa...,0.03,1.07,2.40%,3
0x354fc7...,0.03,0.07,42.90%,2
0x23ab27...,0.03,0.08,33.30%,1
0x5c92a2...,0.03,0.08,33.30%,1
0x16884a...,0.03,0.08,33.30%,2
0xf543f0...,0.03,0.07,42.90%,1
0x0a1363...,0.03,0.02,150%,1
0x3f1724...,0.03,0.08,33.30%,1
0xbdcd39...,0.03,1.17,2.40%,3
0xe2d517...,0.03,0.04,72.40%,1
0x884f00...,0.03,0.08,33.30%,1
0x59146a...,0.03,0.07,42.90%,1
0x9d3b97...,0.03,0.13,20%,4
0xb9edc3...,0.03,0.07,37%,1
0x7f01d9...,0.03,0.07,42.90%,2
0x6d45b3...,0.03,0.1,35.10%,1
0xb3d77e...,0.03,0.12,25%,1
0x556568...,0.03,0.8,4.20%,2
0x00e2eb...,0.03,0.13,21.80%,4
0x6fea76...,0.03,0.02,203%,1
0xd7a088...,0.03,0.07,42.90%,1
0x90cbbb...,0.02,0.13,14.10%,4
0xbbcb14...,0.02,0.18,9.90%,7
0x02e312...,0.02,0.03,58.70%,1
0x631824...,0.02,3.48,0.60%,13
0xb5d100...,0.02,0.4,5.50%,4
0x1782fd...,0.02,0.16,11.80%,2
0x56d037...,0.02,0.04,47.10%,1
0x0ca3bd...,0.02,0.09,23.40%,2
0xf6eb13...,0.02,0.09,21.70%,3
0x83be1e...,0.02,0.03,72.40%,1
0xa369f4...,0.02,0.03,78.60%,1
0x22dcf3...,0.02,0.03,64.10%,2
0xf1c383...,0.02,0.03,56.30%,1
0xd7f190...,0.02,0.2,12.50%,5
0x8fc862...,0.02,0.04,53.80%,1
0x3d7165...,0.02,0.08,32.20%,2
0x8956b7...,0.02,1.31,1.70%,6
0x04676a...,0.02,0.09,19.50%,2
0x16a33e...,0.02,0.02,100%,1
0xd8e370...,0.02,0.09,25%,1
0x497e90...,0.02,0.03,88.70%,1
0x880772...,0.02,0.09,17.40%,2
0x5ac7b1...,0.02,0.06,31.20%,2
0x8ec860...,0.02,0.98,2%,2
0xaa4888...,0.02,0.03,61.30%,2
0xfaaffa...,0.02,0.03,66.70%,5
0xaae967...,0.02,0.08,28.90%,1
0x71180c...,0.02,0.49,3.10%,2
0xdbc0a6...,0.02,0.03,78.60%,1
0xdc603f...,0.02,0.66,3.10%,3
0x86a32e...,0.02,0.04,42.90%,2
0xd2c39c...,0.02,0.49,3.10%,1
0xe97fee...,0.02,1.78,1.30%,6
0x6f2c94...,0.02,5.58,0.40%,12
0x413744...,0.02,0.03,83.50%,1
0x27b613...,0.02,0.21,9.10%,4
0xf48e25...,0.02,0.03,50%,1
0x11d887...,0.01,0.01,66.70%,2
0xe082b5...,0.01,0.09,11.10%,1
0x707cb1...,0.01,0.02,81.80%,1
0xdcf753...,0.01,9.32,0.10%,10
0xe22fd0...,0.01,0.04,25%,1
0xe29a52...,0.01,0.01,120%,1
0xda9162...,0.01,0.09,14.30%,2
0xd88361...,0.01,0,270.50%,1
0xd8565b...,0.01,0.03,33.30%,1
0x715615...,0.01,1.99,0.50%,2
